Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2
Mohamed Kaba,France,24.0,Ligue 1,443,0.61,0.0,0.20316027088036115,1.4221218961625282,1.8284424379232505,4.9222222222222225,2000000.0,0.11540060780911232,17330931.248718042,0,1.3552045513484168,0.9990420591331971
Yassine Kechta,Morocco,24.0,Ligue 1,1083,1.41,0.08310249307479224,0.08310249307479224,2.5761772853185594,1.3296398891966759,12.033333333333333,5000000.0,0.432262423908893,11567047.523552125,1,1.1135096837987222,-0.5687286997558412
Luca Kerber,Germany,24.0,Bundesliga,563,1.12,0.3197158081705151,0.0,1.438721136767318,1.438721136767318,6.2555555555555555,2000000.0,0.20718818558756355,9653060.063865194,1,0.13334301754892822,-1.186964705787073
Takefusa Kubo,Japan,24.0,La Liga,1179,1.91,0.15267175572519084,0.22900763358778625,0.4580152671755725,1.1450381679389314,13.1,30000000.0,0.10604109992514635,282909174.09548545,0,-1.1964040638667008,0.8352773954585492
Johann Lepenant,France,23.0,Ligue 1,1471,0.86,0.0,0.061182868796736914,1.284840244731475,2.3861318830727396,16.344444444444445,7000000.0,0.12237947558580511,57199133.813022606,1,1.8820797934335802,-0.21109833247491736
Jamie Leweling,Germany,25.0,Bundesliga,1842,1.95,0.3420195439739414,0.2931596091205212,0.6840390879478828,0.4397394136807818,20.466666666666665,40000000.0,0.27861280820986356,143568417.60795942,2,-2.392187498655176,1.0153790381927221
Luca Lipani,Italy,20.0,Serie A,722,1.25,0.0,0.0,2.8670360110803323,1.745152354570637,8.022222222222222,7500000.0,0.404027249583951,18563104.36418128,1,2.175833664697615,-1.129884403785248
Iker Losada,Spain,24.0,La Liga,583,1.7,0.30874785591766724,0.15437392795883362,0.7718696397941681,1.0806174957118353,6.477777777777778,1400000.0,0.22558454010274714,6206099.04988321,2,-1.2393361726894285,0.001392047955035843
Tom Louchet,France,22.0,Ligue 1,1133,1.59,0.2383053839364519,0.1588702559576346,1.1120917917034423,0.9532215357458076,12.588888888888889,7000000.0,0.17259929065237883,40556365.982397065,0,-0.8715397266008991,0.1409380884908143
Soungoutou Magassa,France,22.0,Premier League,964,0.65,0.09336099585062241,0.0,1.587136929460581,2.1473029045643157,10.71111111111111,17000000.0,0.10520200654336435,161593875.99696195,1,1.8310061905500747,-0.7809113172846968
Patrizio Masini,Italy,25.0,Serie A,1166,1.0,0.0,0.07718696397941681,2.469982847341338,2.6243567753001713,12.955555555555556,5000000.0,0.6773915383535088,7381255.473242509,1,2.737493880082855,-0.5720958458634204
Pape Matar Sarr,Senegal,23.0,Premier League,1237,0.95,0.14551333872271627,0.21827000808407437,1.746160064672595,1.3823767178658044,13.744444444444444,32000000.0,0.36025629805662923,88825650.44003719,0,0.4882036649257581,0.7008247531041791
Ibrahim Maza,Algeria,20.0,Bundesliga,1166,2.62,0.15437392795883362,0.2315608919382504,0.9262435677530017,1.234991423670669,12.955555555555556,40000000.0,0.4877104825477243,82015870.95492837,2,-1.2730223601476258,0.40424558075415573
Pathé Mboup,Senegal,22.0,Ligue 1,877,1.85,0.10262257696693274,0.0,2.976054732041049,1.4367160775370582,9.744444444444444,3000000.0,0.6139017815806339,4886775.197615158,1,1.2863907512498165,-1.5240958488039102
Dayann Methalie,France,20.0,Ligue 1,1464,0.68,0.0,0.0,2.5819672131147544,1.4754098360655739,16.266666666666666,12000000.0,0.05568546745396778,215496080.91051337,1,2.1075597843197085,-0.7512221779867259
Yankuba Minteh,Gambia,21.0,Premier League,1757,1.74,0.10244735344336937,0.20489470688673875,1.0244735344336937,1.3830392714854867,19.522222222222222,40000000.0,0.23904436979868615,167332951.75990316,0,-0.3193172752328373,0.5960371909159615
Fabio Miretti,Italy,22.0,Serie A,524,2.75,0.1717557251908397,0.3435114503816794,2.0610687022900764,1.3740458015267176,5.822222222222222,16000000.0,1.1636623790671063,13749692.597974166,0,-0.7629720957471945,0.7401884485028211
Alberto Moleiro,Spain,22.0,La Liga,1818,1.93,0.44554455445544555,0.19801980198019803,1.3366336633663367,0.6435643564356436,20.2,40000000.0,0.5612589137826738,71268355.86523706,2,-1.9027372542632974,-0.10776671349713582
Bilal Nadir,Morocco,22.0,Ligue 1,565,1.12,0.0,0.6371681415929203,3.504424778761062,1.4336283185840708,6.277777777777778,9000000.0,1.496587725869889,6013680.216954049,0,1.1957785841691984,3.3657148811779556
