Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Johann Lepenant,France,23.0,Ligue 1,1471,0.86,0.0,0.0611828687967369,1.284840244731475,2.38613188307274,16.344444444444445,7000000.0,0.1223794755858051,57199133.813022606,1,1.88207979343358,-0.2110983324749173,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Lepenant_asse_fcn_2425.png/500px-Lepenant_asse_fcn_2425.png
Jamie Leweling,Germany,25.0,Bundesliga,1842,1.95,0.3420195439739414,0.2931596091205212,0.6840390879478828,0.4397394136807818,20.466666666666665,40000000.0,0.2786128082098635,143568417.60795942,2,-2.392187498655176,1.015379038192722,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Jamie_leweling.jpg/500px-Jamie_leweling.jpg
Luca Lipani,Italy,20.0,Serie A,722,1.25,0.0,0.0,2.8670360110803323,1.745152354570637,8.022222222222222,7500000.0,0.404027249583951,18563104.36418128,1,2.175833664697615,-1.129884403785248,https://img.a.transfermarkt.technology/portrait/header/724106-1681206396.jpg?lm=1
Iker Losada,Spain,24.0,La Liga,583,1.7,0.3087478559176672,0.1543739279588336,0.7718696397941681,1.0806174957118353,6.477777777777778,1400000.0,0.2255845401027471,6206099.04988321,2,-1.2393361726894283,0.0013920479550358,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Partido_Galicia_-_Panam%C3%A1_en_Bala%C3%ADdos_108_%28cropped%29.jpg/500px-Partido_Galicia_-_Panam%C3%A1_en_Bala%C3%ADdos_108_%28cropped%29.jpg
Tom Louchet,France,22.0,Ligue 1,1133,1.59,0.2383053839364519,0.1588702559576346,1.1120917917034423,0.9532215357458076,12.588888888888889,7000000.0,0.1725992906523788,40556365.982397065,0,-0.8715397266008991,0.1409380884908143,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Louchet_asse_ogcn_2425.png/500px-Louchet_asse_ogcn_2425.png
Soungoutou Magassa,France,22.0,Premier League,964,0.65,0.0933609958506224,0.0,1.587136929460581,2.147302904564316,10.71111111111111,17000000.0,0.1052020065433643,161593875.99696195,1,1.8310061905500747,-0.7809113172846968,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Magassa_asse_asm_2425.png/500px-Magassa_asse_asm_2425.png
Patrizio Masini,Italy,25.0,Serie A,1166,1.0,0.0,0.0771869639794168,2.469982847341338,2.6243567753001718,12.955555555555556,5000000.0,0.6773915383535088,7381255.473242509,1,2.737493880082855,-0.5720958458634204,https://img.a.transfermarkt.technology/portrait/header/459665-1742901177.jpg?lm=1
Pape Matar Sarr,Senegal,23.0,Premier League,1237,0.95,0.1455133387227162,0.2182700080840743,1.746160064672595,1.3823767178658044,13.744444444444444,32000000.0,0.3602562980566292,88825650.44003719,0,0.4882036649257581,0.7008247531041791,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pape_Matar_Sarr_France_v_Senegal_16_June_2026-227.jpg/500px-Pape_Matar_Sarr_France_v_Senegal_16_June_2026-227.jpg
Ibrahim Maza,Algeria,20.0,Bundesliga,1166,2.62,0.1543739279588336,0.2315608919382504,0.9262435677530017,1.234991423670669,12.955555555555556,40000000.0,0.4877104825477243,82015870.95492837,2,-1.2730223601476258,0.4042455807541557,https://img.a.transfermarkt.technology/portrait/header/905011-1758702817.jpg?lm=1
Pathé Mboup,Senegal,22.0,Ligue 1,877,1.85,0.1026225769669327,0.0,2.976054732041049,1.4367160775370582,9.744444444444444,3000000.0,0.6139017815806339,4886775.197615158,1,1.2863907512498165,-1.5240958488039102,https://img.a.transfermarkt.technology/portrait/header/979551-1709884981.png?lm=1
Dayann Methalie,France,20.0,Ligue 1,1464,0.68,0.0,0.0,2.5819672131147544,1.475409836065574,16.266666666666666,12000000.0,0.0556854674539677,215496080.91051337,1,2.1075597843197085,-0.7512221779867259,https://img.a.transfermarkt.technology/portrait/header/1191444-1758104984.jpg?lm=1
